episode,offset_months,indicator_id,percentile
postcovid,-1,baa_spread,73.97
postcovid,-1,household_debt_gdp,72.28
postcovid,-1,corporate_debt_gdp,97.54
postcovid,-1,sloos_tightening,89.76
postcovid,-1,m2_yoy,92.61
postcovid,-1,fed_bs_yoy,75.99
postcovid,-1,net_liquidity,32.53
postcovid,-1,real_ffr,99.48
postcovid,-1,curve_10y2y,55.75
postcovid,-1,curve_10y3m,63.63
postcovid,-1,vix,7.64
postcovid,-1,sahm,1.14
postcovid,-1,cfnai_act,40.58
postcovid,-1,spx_200dma_dist,40.53
postcovid,-1,rsp_spy_breadth,92.84
postcovid,-1,dollar_spliced,67.13
postcovid,-1,margin_debt_yoy,57.99
postcovid,0,buffett,98.6
postcovid,0,cape,97.87
postcovid,0,erp,25.0
postcovid,0,baa_spread,73.35
postcovid,0,household_debt_gdp,72.73
postcovid,0,corporate_debt_gdp,97.2
postcovid,0,sloos_tightening,82.81
postcovid,0,m2_yoy,90.07
postcovid,0,fed_bs_yoy,72.79
postcovid,0,net_liquidity,25.55
postcovid,0,real_ffr,99.87
postcovid,0,curve_10y2y,51.67
postcovid,0,curve_10y3m,55.79
postcovid,0,vix,55.79
postcovid,0,sahm,2.55
postcovid,0,cfnai_act,59.86
postcovid,0,spx_200dma_dist,21.81
postcovid,0,rsp_spy_breadth,90.03
postcovid,0,dollar_spliced,63.89
postcovid,0,margin_debt_yoy,34.26
postcovid,6,buffett,95.49
postcovid,6,cape,93.11
postcovid,6,erp,64.1
postcovid,6,baa_spread,37.43
postcovid,6,household_debt_gdp,70.83
postcovid,6,corporate_debt_gdp,96.53
postcovid,6,sloos_tightening,18.46
postcovid,6,m2_yoy,23.04
postcovid,6,fed_bs_yoy,62.25
postcovid,6,net_liquidity,6.67
postcovid,6,real_ffr,97.81
postcovid,6,curve_10y2y,85.5
postcovid,6,curve_10y3m,68.45
postcovid,6,vix,14.11
postcovid,6,sahm,29.92
postcovid,6,cfnai_act,39.02
postcovid,6,spx_200dma_dist,94.05
postcovid,6,rsp_spy_breadth,28.22
postcovid,6,dollar_spliced,78.38
postcovid,6,margin_debt_yoy,10.17
postcovid,12,buffett,97.24
postcovid,12,cape,92.43
postcovid,12,erp,84.17
postcovid,12,baa_spread,61.08
postcovid,12,household_debt_gdp,70.34
postcovid,12,corporate_debt_gdp,93.45
postcovid,12,sloos_tightening,9.09
postcovid,12,m2_yoy,0.13
postcovid,12,fed_bs_yoy,7.96
postcovid,12,net_liquidity,12.05
postcovid,12,real_ffr,79.13
postcovid,12,curve_10y2y,96.04
postcovid,12,curve_10y3m,99.73
postcovid,12,vix,25.99
postcovid,12,sahm,20.05
postcovid,12,cfnai_act,14.98
postcovid,12,spx_200dma_dist,80.77
postcovid,12,rsp_spy_breadth,9.04
postcovid,12,dollar_spliced,78.4
postcovid,12,margin_debt_yoy,9.97
oil1973,-24,buffett,60.98
oil1973,-24,cape,60.04
oil1973,-24,household_debt_gdp,59.76
oil1973,-24,corporate_debt_gdp,96.34
oil1973,-24,m2_yoy,42.86
oil1973,-24,real_ffr,99.36
oil1973,-24,sahm,100.0
oil1973,-24,spx_200dma_dist,12.28
oil1973,-18,buffett,53.57
oil1973,-18,cape,63.75
oil1973,-18,household_debt_gdp,60.71
oil1973,-18,corporate_debt_gdp,98.81
oil1973,-18,m2_yoy,100.0
oil1973,-18,real_ffr,82.82
oil1973,-18,sahm,81.43
oil1973,-18,spx_200dma_dist,35.52
oil1973,-12,buffett,65.12
oil1973,-12,cape,67.34
oil1973,-12,household_debt_gdp,63.95
oil1973,-12,corporate_debt_gdp,96.51
oil1973,-12,m2_yoy,98.62
oil1973,-12,real_ffr,86.98
oil1973,-12,sahm,32.88
oil1973,-12,spx_200dma_dist,42.36
oil1973,-9,buffett,62.07
oil1973,-9,cape,72.35
oil1973,-9,household_debt_gdp,64.37
oil1973,-9,corporate_debt_gdp,90.8
oil1973,-9,m2_yoy,92.57
oil1973,-9,real_ffr,68.6
oil1973,-9,sahm,28.52
oil1973,-9,spx_200dma_dist,23.22
oil1973,-6,buffett,63.64
oil1973,-6,cape,67.97
oil1973,-6,household_debt_gdp,65.91
oil1973,-6,corporate_debt_gdp,93.18
oil1973,-6,m2_yoy,91.39
oil1973,-6,real_ffr,35.43
oil1973,-6,sahm,4.61
oil1973,-6,spx_200dma_dist,47.19
oil1973,-3,buffett,89.89
oil1973,-3,cape,68.69
oil1973,-3,household_debt_gdp,69.66
oil1973,-3,corporate_debt_gdp,91.01
oil1973,-3,m2_yoy,92.86
oil1973,-3,real_ffr,23.6
oil1973,-3,sahm,30.0
oil1973,-3,spx_200dma_dist,57.21
oil1973,-1,buffett,89.89
oil1973,-1,cape,77.9
oil1973,-1,household_debt_gdp,69.66
oil1973,-1,corporate_debt_gdp,91.01
oil1973,-1,m2_yoy,94.23
oil1973,-1,real_ffr,18.33
oil1973,-1,sahm,5.1
oil1973,-1,spx_200dma_dist,25.21
oil1973,0,buffett,64.44
oil1973,0,cape,78.82
oil1973,0,household_debt_gdp,65.56
oil1973,0,corporate_debt_gdp,90.0
oil1973,0,m2_yoy,93.63
oil1973,0,real_ffr,0.0
oil1973,0,sahm,2.53
oil1973,0,spx_200dma_dist,25.21
oil1973,6,buffett,54.35
oil1973,6,cape,54.37
oil1973,6,household_debt_gdp,72.83
oil1973,6,corporate_debt_gdp,100.0
oil1973,6,m2_yoy,82.82
oil1973,6,real_ffr,0.0
oil1973,6,sahm,10.98
oil1973,6,spx_200dma_dist,79.25
oil1973,12,buffett,23.4
oil1973,12,cape,36.08
oil1973,12,household_debt_gdp,76.6
oil1973,12,corporate_debt_gdp,100.0
oil1973,12,m2_yoy,23.67
oil1973,12,real_ffr,4.15
oil1973,12,sahm,64.12
oil1973,12,spx_200dma_dist,89.25
volcker1980,-24,buffett,3.54
volcker1980,-24,cape,9.19
volcker1980,-24,household_debt_gdp,99.12
volcker1980,-24,corporate_debt_gdp,69.03
volcker1980,-24,m2_yoy,39.65
volcker1980,-24,real_ffr,51.39
volcker1980,-24,sahm,26.1
volcker1980,-24,cfnai_act,23.05
